array_length	array_length([1,2,3]) || ARRAY_LENGTH(ARRAY(1, 2, 3))	DIFF	"3"[U+0033]	<ERR:errCode = 2, detailMessage = Can not found function 'ARRAY_L>
array_size	array_length([1,2,3]) || array_size(array(1,2,3))	SAME	"3"[U+0033]	"3"[U+0033]
datesub	datesub('day', 3, DATE '2024-03-15') || days_sub(CAST('2024-03-15' AS DATE), 3)	DIFF	<ERR:Invalid Input Error: Attempting to execute an unsuccessful o>	"2024-03-12"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0033 U+002D U+0031 U+0032]
get_current_timestamp	1 || now()	DIFF	"1"[U+0031]	"2026-07-13 08:38:13"[U+0032 U+0030 U+0032 U+0036 U+002D U+0030 U+0037 U+002D U+0031 U+0033 U+0020 U+0030 U+0038 U+003A U+0033 U+0038 U+003A U+0031 U+0033]
gcd	greatest_common_divisor(12, 18) || gcd(12, 18)	SAME	"6"[U+0036]	"6"[U+0036]
lcm	least_common_multiple(4, 6) || lcm(4, 6)	SAME	"12"[U+0031 U+0032]	"12"[U+0031 U+0032]
list_intersect	list_intersect([1,2,3], [2,3,4]) || array_intersect(array(1,2,3), array(2,3,4))	SAME	"[2, 3]"[U+005B U+0032 U+002C U+0020 U+0033 U+005D]	"[2, 3]"[U+005B U+0032 U+002C U+0020 U+0033 U+005D]
list_position	list_position([10,20,30], 20) || array_position(array(10,20,30), 20)	SAME	"2"[U+0032]	"2"[U+0032]
list_slice	list_slice([1,2,3,4,5], 2, 4) || array_slice(array(1,2,3,4,5), 2, 3)	SAME	"[2, 3, 4]"[U+005B U+0032 U+002C U+0020 U+0033 U+002C U+0020 U+0034 U+005D]	"[2, 3, 4]"[U+005B U+0032 U+002C U+0020 U+0033 U+002C U+0020 U+0034 U+005D]
list_zip	1 || array_zip(array(1,2), array(3,4))	DIFF	"1"[U+0031]	"[{"col1":1, "col2":3}, {"col1":2, "col2":4}]"[U+005B U+007B U+0022 U+0063 U+006F U+006C U+0031 U+0022 U+003A U+0031 U+002C U+0020 U+0022 U+0063 U+006F U+006C U+0032 U+0022 U+003A U+0033 U+007D U+002C U+0020 U+007B U+0022 U+0063 U+006F U+006C U+0031 U+0022 U+003A U+0032 U+002C U+0020 U+0022 U+0063 U+006F U+006C U+0032 U+0022 U+003A U+0034 U+007D U+005D]
map_extract	1 || element_at(map('a',1,'b',2), 'a')	SAME	"1"[U+0031]	"1"[U+0031]
map_extract_duck	map_extract(MAP(['a','b'],[1,2]), 'a') || 1	DIFF	"[1]"[U+005B U+0031 U+005D]	"1"[U+0031]
row	1 || named_struct('c1',1,'c2','x')	DIFF	"1"[U+0031]	"{"c1":1, "c2":"x"}"[U+007B U+0022 U+0063 U+0031 U+0022 U+003A U+0031 U+002C U+0020 U+0022 U+0063 U+0032 U+0022 U+003A U+0022 U+0078 U+0022 U+007D]
st_asbinary	1 || st_asbinary(st_point(1,2))	DIFF	"1"[U+0031]	"\x0101000000000000000000f03f0000000000000040"[U+005C U+0078 U+0030 U+0031 U+0030 U+0031 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0066 U+0030 U+0033 U+0066 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0030 U+0034 U+0030]
suffix	suffix('hello', 'lo') || ends_with('hello', 'lo')	DIFF	"true"[U+0074 U+0072 U+0075 U+0065]	"1"[U+0031]
unbin	1 || from_base64('MTAxMA==')	DIFF	"1"[U+0031]	"1010"[U+0031 U+0030 U+0031 U+0030]
is_nan	1 || is_nan(cast('nan' as double))	DIFF	"1"[U+0031]	<ERR:errCode = 2, detailMessage = Can not found function 'is_nan'>
isnan2	1 || isnan(cast('nan' as double))	SAME	"1"[U+0031]	"1"[U+0031]
filter	filter(ARRAY[1,2,3,4], x -> x > 2) || ARRAY_FILTER(x -> x > 2, ARRAY(1, 2, 3, 4))	SAME	"[3, 4]"[U+005B U+0033 U+002C U+0020 U+0034 U+005D]	"[3, 4]"[U+005B U+0033 U+002C U+0020 U+0034 U+005D]
