abs	abs(2.5)
acos	acos(2.5)
acosh	acosh(2.5)
aes_decrypt	aes_decrypt('aBc', 'aBc')
aes_encrypt	aes_encrypt('aBc', 'aBc')
ai_classify	ai_classify('aBc', [1,2,3])
ai_extract	ai_extract('aBc', [1,2,3])
ai_filter	ai_filter('aBc')
ai_fixgrammar	ai_fixgrammar('aBc')
ai_generate	ai_generate('aBc')
ai_mask	ai_mask('aBc', [1,2,3])
ai_sentiment	ai_sentiment('aBc')
ai_similarity	ai_similarity('aBc', 'aBc')
ai_summarize	ai_summarize('aBc')
ai_translate	ai_translate('aBc', 'aBc')
append_trailing_char_if_absent	append_trailing_char_if_absent('aBc', 'aBc')
arrays_overlap	arrays_overlap([1,2,3], [1,2,3])
array_avg	array_avg([1,2,3])
array_compact	array_compact([1,2,3])
array_concat	array_concat([1,2,3])
array_contains_all	array_contains_all([1,2,3], [1,2,3])
array_count	array_count([1,2,3])
array_cross_product	array_cross_product([1,2,3], [1,2,3])
array_cum_sum	array_cum_sum([1,2,3])
array_difference	array_difference([1,2,3])
array_distinct	array_distinct([1,2,3])
array_enumerate	array_enumerate([1,2,3])
array_enumerate_uniq	array_enumerate_uniq([1,2,3])
array_except	array_except([1,2,3], [1,2,3])
array_exists	array_exists([1,2,3])
array_filter	array_filter([1,2,3], [1,2,3])
array_first	array_first([1,2,3], [1,2,3])
array_first_index	array_first_index([1,2,3])
array_intersect	array_intersect([1,2,3], [1,2,3])
array_join	array_join([1,2,3], 'aBc')
array_last	array_last([1,2,3], [1,2,3])
array_last_index	array_last_index([1,2,3])
array_match_all	array_match_all([1,2,3])
array_match_any	array_match_any([1,2,3])
array_max	array_max([1,2,3])
array_min	array_min([1,2,3])
array_popback	array_popback([1,2,3])
array_popfront	array_popfront([1,2,3])
array_product	array_product([1,2,3])
array_range	array_range(5)
array_reverse_sort	array_reverse_sort([1,2,3])
array_reverse_split	array_reverse_split([1,2,3], [1,2,3])
array_shuffle	array_shuffle([1,2,3])
array_size	array_size([1,2,3])
array_slice	array_slice([1,2,3], 5)
array_sort	array_sort([1,2,3])
array_sortby	array_sortby([1,2,3], [1,2,3])
array_split	array_split([1,2,3], [1,2,3])
array_sum	array_sum([1,2,3])
array_union	array_union([1,2,3], [1,2,3])
ascii	ascii('aBc')
asin	asin(2.5)
asinh	asinh(2.5)
assert_true	assert_true(true, 'aBc')
atan	atan(2.5)
atan2	atan2(2.5, 2.5)
atanh	atanh(2.5)
auto_partition_name	auto_partition_name('aBc')
bin	bin(5)
bitmap_from_array	bitmap_from_array([1,2,3])
bitmap_from_base64	bitmap_from_base64('aBc')
bitmap_from_string	bitmap_from_string('aBc')
bitmap_hash	bitmap_hash('aBc')
bitmap_hash64	bitmap_hash64('aBc')
bit_count	bit_count(5)
bit_length	bit_length('aBc')
bit_shift_left	bit_shift_left(5, 5)
bit_shift_right	bit_shift_right(5, 5)
bit_test	bit_test(5, 5)
cbrt	cbrt(2.5)
ceil	ceil(2.5)
century	century(cast('2024-06-16' as date))
char	char('aBc', 5)
char_length	char_length('aBc')
compress	compress('aBc')
concat	concat('aBc')
concat_ws	concat_ws('aBc', [1,2,3])
conv	conv(5, 5, 5)
convert_to	convert_to('aBc', 'aBc')
convert_tz	convert_tz(cast('2024-06-16 13:45:07' as datetime), 'aBc', 'aBc')
cos	cos(2.5)
cosh	cosh(2.5)
cosine_distance	cosine_distance([1,2,3], [1,2,3])
cosine_similarity	cosine_similarity([1,2,3], [1,2,3])
cot	cot(2.5)
count_substrings	count_substrings('aBc', 'aBc')
crc32	crc32('aBc')
csc	csc(2.5)
cut_to_first_significant_subdomain	cut_to_first_significant_subdomain('aBc')
damerau_levenshtein_distance	damerau_levenshtein_distance('aBc', 'aBc')
date	date(cast('2024-06-16 13:45:07' as datetime))
datev2	datev2(cast('2024-06-16 13:45:07' as datetime))
date_format	date_format(cast('2024-06-16 13:45:07' as datetime), 'aBc')
day	day(cast('2024-06-16' as date))
dayname	dayname(cast('2024-06-16' as date))
dayofweek	dayofweek(cast('2024-06-16' as date))
dayofyear	dayofyear(cast('2024-06-16' as date))
days_add	days_add(cast('2024-06-16 13:45:07' as datetime), 5)
days_sub	days_sub(cast('2024-06-16 13:45:07' as datetime), 5)
day_ceil	day_ceil(cast('2024-06-16 13:45:07' as datetime))
day_floor	day_floor(cast('2024-06-16 13:45:07' as datetime))
day_hour	day_hour(cast('2024-06-16 13:45:07' as datetime))
day_microsecond	day_microsecond(cast('2024-06-16 13:45:07' as datetime))
day_minute	day_minute(cast('2024-06-16 13:45:07' as datetime))
day_second	day_second(cast('2024-06-16 13:45:07' as datetime))
dceil	dceil(2.5)
decode_as_varchar	decode_as_varchar(5)
degrees	degrees(2.5)
dexp	dexp(2.5)
dfloor	dfloor(2.5)
digital_masking	digital_masking('aBc')
dlog10	dlog10(2.5)
domain	domain('aBc')
domain_without_www	domain_without_www('aBc')
dpow	dpow(2.5, 2.5)
dround	dround(2.5)
dsqrt	dsqrt(2.5)
element_at	element_at([1,2,3], 5)
elt	elt(5, 'aBc')
embed	embed('aBc')
encode_as_bigint	encode_as_bigint('aBc')
encode_as_int	encode_as_int('aBc')
encode_as_largeint	encode_as_largeint('aBc')
encode_as_smallint	encode_as_smallint('aBc')
ends_with	ends_with('aBc', 'aBc')
even	even(2.5)
exp	exp(2.5)
export_set	export_set(5, 'aBc', 'aBc')
extract_url_parameter	extract_url_parameter('aBc', 'aBc')
factorial	factorial(5)
field	field(5, 5)
find_in_set	find_in_set('aBc', 'aBc')
first_significant_subdomain	first_significant_subdomain('aBc')
floor	floor(2.5)
fmod	fmod(2.5, 2.5)
format	format('aBc', 5)
format_number	format_number(2.5)
format_round	format_round(5, 5)
fpow	fpow(2.5, 2.5)
from_base64	from_base64('aBc')
from_base64_binary	from_base64_binary('aBc')
from_days	from_days(5)
from_iso8601_date	from_iso8601_date('aBc')
from_microsecond	from_microsecond(5)
from_millisecond	from_millisecond(5)
from_second	from_second(5)
from_unixtime	from_unixtime(5)
g	g('aBc')
gcd	gcd(5, 5)
get_format	get_format('aBc', 'aBc')
hamming_distance	hamming_distance('aBc', 'aBc')
hex	hex(5)
hll_from_base64	hll_from_base64('aBc')
hll_hash	hll_hash('aBc')
hour	hour(cast('2024-06-16 13:45:07' as datetime))
