abs	abs(5)
acos	acos(2.5)
asin	asin(2.5)
at_timezone	at_timezone(TIMESTAMP '2024-06-16 13:45:07', 'aBc')
atan	atan(2.5)
atan2	atan2(2.5, 2.5)
bar	bar(2.5, 5)
beta_cdf	beta_cdf(2.5, 2.5, 2.5)
bit_count	bit_count(5, 5)
bitwise_and	bitwise_and(5, 5)
bitwise_left_shift	bitwise_left_shift(5, 5)
bitwise_not	bitwise_not(5)
bitwise_or	bitwise_or(5, 5)
bitwise_right_shift	bitwise_right_shift(5, 5)
bitwise_right_shift_arithmetic	bitwise_right_shift_arithmetic(5, 5)
bitwise_xor	bitwise_xor(5, 5)
cbrt	cbrt(2.5)
ceil	ceil(5)
ceiling	ceiling(5)
chr	chr(5)
codepoint	codepoint('aBc')
color	color('aBc')
concat	concat(from_hex('AABB'))
concat_ws	concat_ws('aBc', ARRAY['aBc'])
cos	cos(2.5)
cosh	cosh(2.5)
cosine_distance	cosine_distance(ARRAY[2.5], ARRAY[2.5])
cosine_similarity	cosine_similarity(ARRAY[2.5], ARRAY[2.5])
crc32	crc32(from_hex('AABB'))
create_hll	create_hll(5)
custom_add	custom_add(5, 5)
date	date(TIMESTAMP '2024-06-16 13:45:07')
date_add	date_add('aBc', 5, DATE '2024-06-16')
date_diff	date_diff('aBc', DATE '2024-06-16', DATE '2024-06-16')
date_format	date_format(TIMESTAMP '2024-06-16 13:45:07', 'aBc')
date_parse	date_parse('aBc', 'aBc')
date_trunc	date_trunc('aBc', DATE '2024-06-16')
day	day(DATE '2024-06-16')
day_of_month	day_of_month(DATE '2024-06-16')
day_of_week	day_of_week(DATE '2024-06-16')
day_of_year	day_of_year(DATE '2024-06-16')
degrees	degrees(2.5)
dot_product	dot_product(ARRAY[2.5], ARRAY[2.5])
dow	dow(DATE '2024-06-16')
doy	doy(DATE '2024-06-16')
euclidean_distance	euclidean_distance(ARRAY[2.5], ARRAY[2.5])
exp	exp(2.5)
floor	floor(5)
format_datetime	format_datetime(TIMESTAMP '2024-06-16 13:45:07', 'aBc')
format_number	format_number(5)
from_base	from_base('aBc', 5)
from_base32	from_base32(from_hex('AABB'))
from_base64	from_base64(from_hex('AABB'))
from_base64url	from_base64url(from_hex('AABB'))
from_big_endian_32	from_big_endian_32(from_hex('AABB'))
from_big_endian_64	from_big_endian_64(from_hex('AABB'))
from_hex	from_hex(from_hex('AABB'))
from_ieee754_32	from_ieee754_32(from_hex('AABB'))
from_ieee754_64	from_ieee754_64(from_hex('AABB'))
from_iso8601_date	from_iso8601_date('aBc')
from_iso8601_timestamp	from_iso8601_timestamp('aBc')
from_iso8601_timestamp_nanos	from_iso8601_timestamp_nanos('aBc')
from_unixtime	from_unixtime(2.5)
from_unixtime_nanos	from_unixtime_nanos(5)
from_utf8	from_utf8(from_hex('AABB'))
hamming_distance	hamming_distance('aBc', 'aBc')
hmac_md5	hmac_md5(from_hex('AABB'), from_hex('AABB'))
hmac_sha1	hmac_sha1(from_hex('AABB'), from_hex('AABB'))
hmac_sha256	hmac_sha256(from_hex('AABB'), from_hex('AABB'))
hmac_sha512	hmac_sha512(from_hex('AABB'), from_hex('AABB'))
hour	hour(TIMESTAMP '2024-06-16 13:45:07')
human_readable_seconds	human_readable_seconds(2.5)
inverse_beta_cdf	inverse_beta_cdf(2.5, 2.5, 2.5)
inverse_normal_cdf	inverse_normal_cdf(2.5, 2.5, 2.5)
is_finite	is_finite(2.5)
is_infinite	is_infinite(2.5)
is_json_scalar	is_json_scalar(JSON '{"a":1}')
is_nan	is_nan(2.5)
json_array_contains	json_array_contains(JSON '{"a":1}', 5)
json_array_get	json_array_get(JSON '{"a":1}', 5)
json_array_length	json_array_length(JSON '{"a":1}')
json_format	json_format(JSON '{"a":1}')
json_parse	json_parse('aBc')
last_day_of_month	last_day_of_month(DATE '2024-06-16')
length	length('aBc')
levenshtein_distance	levenshtein_distance('aBc', 'aBc')
ln	ln(2.5)
log	log(2.5, 2.5)
log10	log10(2.5)
log2	log2(2.5)
lower	lower('aBc')
lpad	lpad(from_hex('AABB'), 5, from_hex('AABB'))
ltrim	ltrim('aBc')
luhn_check	luhn_check('aBc')
md5	md5(from_hex('AABB'))
millisecond	millisecond(TIMESTAMP '2024-06-16 13:45:07')
minute	minute(TIMESTAMP '2024-06-16 13:45:07')
mod	mod(5, 5)
month	month(DATE '2024-06-16')
murmur3	murmur3(from_hex('AABB'))
normal_cdf	normal_cdf(2.5, 2.5, 2.5)
normalize	normalize('aBc', 'aBc')
parse_data_size	parse_data_size('aBc')
parse_datetime	parse_datetime('aBc', 'aBc')
parse_duration	parse_duration('aBc')
parse_presto_data_size	parse_presto_data_size('aBc')
pow	pow(2.5, 2.5)
power	power(2.5, 2.5)
quarter	quarter(DATE '2024-06-16')
radians	radians(2.5)
rand	rand(5)
random	random(5)
render	render(true)
replace	replace('aBc', 'aBc')
reverse	reverse('aBc')
